Feedback,Category,Department,Year,Gender
The library is overcrowded during exams.,Facilities,CE,4th Year,Female
The syllabus is not being covered on time.,Academics,ME,1st Year,Male
Not enough companies visit the campus.,Placement,ME,4th Year,Female
Admission process was very confusing.,Administration,CE,2nd Year,Male
The library is overcrowded during exams.,Facilities,ECE,3rd Year,Female
Restrooms are not maintained properly.,Facilities,CSE,2nd Year,Female
Course material is outdated.,Academics,ECE,4th Year,Other
Hostel food quality is poor.,Facilities,ME,3rd Year,Other
The syllabus is not being covered on time.,Academics,CE,1st Year,Female
Mock interviews are not organized.,Placement,EEE,1st Year,Female
Exams are too difficult without proper guidance.,Academics,ME,3rd Year,Male
Water supply is inconsistent in the hostel.,Hostel,CSE,4th Year,Female
Hostel warden is unapproachable.,Hostel,CE,3rd Year,Male
The canteen staff is rude.,Canteen,EEE,2nd Year,Other
There is a delay in issuing certificates.,Administration,IT,3rd Year,Other
Admission process was very confusing.,Administration,ME,2nd Year,Male
There is a delay in issuing certificates.,Administration,CSE,2nd Year,Other
The library is overcrowded during exams.,Facilities,ECE,1st Year,Other
Not enough companies visit the campus.,Placement,IT,1st Year,Male
Workshops are irrelevant to current industry trends.,Placement,EEE,1st Year,Female
Hostel cleanliness is not up to the mark.,Hostel,ME,2nd Year,Female
Not enough companies visit the campus.,Placement,ECE,2nd Year,Other
The canteen staff is rude.,Canteen,EEE,1st Year,Male
Mock interviews are not organized.,Placement,IT,1st Year,Other
Not enough companies visit the campus.,Placement,CE,3rd Year,Male
Rooms are cramped and not ventilated.,Hostel,EEE,4th Year,Other
Classrooms need better ventilation.,Facilities,ECE,4th Year,Female
The Wi-Fi is unreliable and slow.,Facilities,ECE,3rd Year,Male
Mock interviews are not organized.,Placement,EEE,3rd Year,Female
Course material is outdated.,Academics,CE,4th Year,Female
Water supply is inconsistent in the hostel.,Hostel,IT,4th Year,Female
Restrooms are not maintained properly.,Facilities,EEE,3rd Year,Other
Workshops are irrelevant to current industry trends.,Placement,CE,2nd Year,Other
Food quality has deteriorated.,Canteen,CSE,1st Year,Female
The canteen is not hygienic.,Canteen,ECE,2nd Year,Female
Prices in the canteen are too high.,Canteen,EEE,2nd Year,Female
There is no variety in the menu.,Canteen,EEE,1st Year,Other
Hostel warden is unapproachable.,Hostel,CE,3rd Year,Female
Restrooms are not maintained properly.,Facilities,ME,4th Year,Other
Hostel cleanliness is not up to the mark.,Hostel,EEE,3rd Year,Other
There is no variety in the menu.,Canteen,CSE,4th Year,Female
Fee payment portal often crashes.,Administration,CSE,4th Year,Female
The Wi-Fi is unreliable and slow.,Facilities,ECE,4th Year,Female
Course material is outdated.,Academics,ECE,4th Year,Other
Placement cell does not provide updates.,Placement,CSE,4th Year,Male
Hostel warden is unapproachable.,Hostel,ECE,3rd Year,Male
Food quality has deteriorated.,Canteen,ECE,1st Year,Female
Forms take too long to get approved.,Administration,CSE,3rd Year,Male
Forms take too long to get approved.,Administration,EEE,3rd Year,Other
Mock interviews are not organized.,Placement,IT,1st Year,Male
The canteen staff is rude.,Canteen,CSE,2nd Year,Male
Water supply is inconsistent in the hostel.,Hostel,EEE,2nd Year,Other
Course material is outdated.,Academics,IT,3rd Year,Female
Teachers rarely respond to student queries.,Academics,EEE,3rd Year,Other
Teachers rarely respond to student queries.,Academics,CE,2nd Year,Female
Admission process was very confusing.,Administration,ECE,2nd Year,Female
The canteen staff is rude.,Canteen,EEE,1st Year,Female
Restrooms are not maintained properly.,Facilities,CE,2nd Year,Female
The library is overcrowded during exams.,Facilities,IT,3rd Year,Other
No practical sessions for theory subjects.,Academics,CSE,4th Year,Other
Food quality has deteriorated.,Canteen,EEE,1st Year,Other
Administrative staff are not cooperative.,Administration,CSE,3rd Year,Male
Mock interviews are not organized.,Placement,EEE,1st Year,Female
Hostel cleanliness is not up to the mark.,Hostel,ME,4th Year,Other
There is no proper signage in the building.,Facilities,CE,1st Year,Male
Hostel warden is unapproachable.,Hostel,ECE,1st Year,Female
The syllabus is not being covered on time.,Academics,IT,1st Year,Other
Restrooms are not maintained properly.,Facilities,CSE,1st Year,Other
The library is overcrowded during exams.,Facilities,ME,3rd Year,Male
The AC in the lab doesn't work.,Facilities,ME,3rd Year,Other
The Wi-Fi is unreliable and slow.,Facilities,ECE,4th Year,Male
Placement cell does not provide updates.,Placement,ECE,3rd Year,Other
Lectures are well-structured and informative.,Academics,CE,3rd Year,Male
Administrative staff are not cooperative.,Administration,IT,3rd Year,Female
There is no proper signage in the building.,Facilities,CSE,1st Year,Other
The canteen is not hygienic.,Canteen,ECE,4th Year,Other
Not enough companies visit the campus.,Placement,ME,2nd Year,Other
Classrooms need better ventilation.,Facilities,IT,1st Year,Other
Rooms are cramped and not ventilated.,Hostel,CE,3rd Year,Other
The admin office is often closed early.,Administration,ME,4th Year,Female
Rooms are cramped and not ventilated.,Hostel,CSE,2nd Year,Female
No practical sessions for theory subjects.,Academics,IT,1st Year,Female
Water supply is inconsistent in the hostel.,Hostel,ECE,1st Year,Female
Scholarship process is very slow.,Administration,IT,4th Year,Other
Water supply is inconsistent in the hostel.,Hostel,CSE,2nd Year,Female
Placement cell does not provide updates.,Placement,ECE,4th Year,Other
The library is overcrowded during exams.,Facilities,EEE,1st Year,Female
Forms take too long to get approved.,Administration,EEE,3rd Year,Female
Water supply is inconsistent in the hostel.,Hostel,EEE,4th Year,Male
Administrative staff are not cooperative.,Administration,EEE,3rd Year,Other
Lectures are well-structured and informative.,Academics,CSE,4th Year,Female
Course material is outdated.,Academics,CE,3rd Year,Female
Rooms are cramped and not ventilated.,Hostel,CE,2nd Year,Male
Mock interviews are not organized.,Placement,CSE,3rd Year,Male
The Wi-Fi is unreliable and slow.,Facilities,ECE,4th Year,Male
Lectures are well-structured and informative.,Academics,ME,3rd Year,Female
Rooms are cramped and not ventilated.,Hostel,CE,3rd Year,Female
Workshops are irrelevant to current industry trends.,Placement,CSE,2nd Year,Male
The AC in the lab doesn't work.,Facilities,ECE,2nd Year,Female
There is no proper signage in the building.,Facilities,ME,3rd Year,Male
There is no variety in the menu.,Canteen,IT,4th Year,Male
The canteen is not hygienic.,Canteen,CSE,2nd Year,Other
Mock interviews are not organized.,Placement,ME,3rd Year,Female
Classrooms need better ventilation.,Facilities,CE,1st Year,Female
Scholarship process is very slow.,Administration,ME,3rd Year,Female
Hostel cleanliness is not up to the mark.,Hostel,CE,1st Year,Male
Hostel cleanliness is not up to the mark.,Hostel,EEE,4th Year,Male
There is a delay in issuing certificates.,Administration,CSE,4th Year,Male
Laundry services are not regular.,Hostel,ECE,1st Year,Female
Mock interviews are not organized.,Placement,CSE,4th Year,Other
Scholarship process is very slow.,Administration,IT,2nd Year,Female
Teachers rarely respond to student queries.,Academics,CSE,1st Year,Other
Soft skill training is missing.,Placement,CE,1st Year,Other
Hostel warden is unapproachable.,Hostel,IT,1st Year,Male
Not enough companies visit the campus.,Placement,CE,2nd Year,Female
Hostel warden is unapproachable.,Hostel,EEE,2nd Year,Other
Restrooms are not maintained properly.,Facilities,ECE,4th Year,Other
Food quality has deteriorated.,Canteen,ECE,4th Year,Male
The library is overcrowded during exams.,Facilities,CE,2nd Year,Male
The library is overcrowded during exams.,Facilities,ECE,4th Year,Female
Soft skill training is missing.,Placement,ME,2nd Year,Other
Soft skill training is missing.,Placement,CE,2nd Year,Male
There is no proper signage in the building.,Facilities,IT,4th Year,Male
Admission process was very confusing.,Administration,CSE,2nd Year,Other
Prices in the canteen are too high.,Canteen,EEE,2nd Year,Male
Fee payment portal often crashes.,Administration,ECE,4th Year,Female
Placement cell does not provide updates.,Placement,CSE,4th Year,Male
No practical sessions for theory subjects.,Academics,ECE,3rd Year,Other
Exams are too difficult without proper guidance.,Academics,CE,1st Year,Other
Workshops are irrelevant to current industry trends.,Placement,CSE,3rd Year,Female
There is no variety in the menu.,Canteen,EEE,3rd Year,Male
There is no variety in the menu.,Canteen,ME,2nd Year,Male
Water supply is inconsistent in the hostel.,Hostel,ECE,2nd Year,Male
Fee payment portal often crashes.,Administration,IT,1st Year,Other
There is no variety in the menu.,Canteen,ECE,4th Year,Male
The canteen staff is rude.,Canteen,ECE,2nd Year,Female
Administrative staff are not cooperative.,Administration,CSE,4th Year,Other
Prices in the canteen are too high.,Canteen,EEE,4th Year,Male
Admission process was very confusing.,Administration,EEE,1st Year,Other
Not enough companies visit the campus.,Placement,IT,1st Year,Male
Lectures are well-structured and informative.,Academics,CE,3rd Year,Other
Prices in the canteen are too high.,Canteen,CSE,1st Year,Female
Hostel cleanliness is not up to the mark.,Hostel,CSE,2nd Year,Female
Classrooms need better ventilation.,Facilities,CSE,3rd Year,Male
Administrative staff are not cooperative.,Administration,ECE,2nd Year,Male
Prices in the canteen are too high.,Canteen,ECE,4th Year,Female
Placement cell does not provide updates.,Placement,CSE,2nd Year,Other
Placement cell does not provide updates.,Placement,CE,1st Year,Female
Hostel warden is unapproachable.,Hostel,IT,2nd Year,Male
The canteen is not hygienic.,Canteen,ME,3rd Year,Other
Rooms are cramped and not ventilated.,Hostel,IT,2nd Year,Female
The canteen staff is rude.,Canteen,CE,4th Year,Female
Administrative staff are not cooperative.,Administration,CSE,2nd Year,Other
Exams are too difficult without proper guidance.,Academics,CSE,2nd Year,Male
Forms take too long to get approved.,Administration,ME,1st Year,Male
Lectures are too fast to follow.,Academics,EEE,4th Year,Other
Workshops are irrelevant to current industry trends.,Placement,ECE,4th Year,Female
Water supply is inconsistent in the hostel.,Hostel,IT,3rd Year,Male
Scholarship process is very slow.,Administration,IT,2nd Year,Other
Placement cell does not provide updates.,Placement,CSE,1st Year,Other
Water supply is inconsistent in the hostel.,Hostel,CE,1st Year,Female
Lectures are well-structured and informative.,Academics,CSE,2nd Year,Female
Fee payment portal often crashes.,Administration,CSE,2nd Year,Female
The canteen is not hygienic.,Canteen,ECE,1st Year,Male
Laundry services are not regular.,Hostel,CE,3rd Year,Female
Hostel cleanliness is not up to the mark.,Hostel,ME,1st Year,Female
Lectures are too fast to follow.,Academics,ECE,4th Year,Male
Laundry services are not regular.,Hostel,IT,3rd Year,Male
Fee payment portal often crashes.,Administration,ECE,1st Year,Other
Hostel warden is unapproachable.,Hostel,ME,2nd Year,Female
Workshops are irrelevant to current industry trends.,Placement,IT,3rd Year,Male
Placement cell does not provide updates.,Placement,ME,4th Year,Other
Prices in the canteen are too high.,Canteen,ME,2nd Year,Other
Water supply is inconsistent in the hostel.,Hostel,EEE,2nd Year,Other
Hostel warden is unapproachable.,Hostel,ME,3rd Year,Other
Placement cell does not provide updates.,Placement,IT,4th Year,Female
Placement cell does not provide updates.,Placement,EEE,3rd Year,Other
Mock interviews are not organized.,Placement,IT,4th Year,Male
Administrative staff are not cooperative.,Administration,IT,3rd Year,Male
Scholarship process is very slow.,Administration,IT,1st Year,Male
There is a delay in issuing certificates.,Administration,IT,1st Year,Male
Soft skill training is missing.,Placement,CE,1st Year,Male
Administrative staff are not cooperative.,Administration,CE,4th Year,Female
Hostel warden is unapproachable.,Hostel,IT,2nd Year,Male
Professors are knowledgeable and helpful.,Academics,CE,1st Year,Female
Hostel cleanliness is not up to the mark.,Hostel,ECE,2nd Year,Other
Hostel warden is unapproachable.,Hostel,IT,3rd Year,Other
No practical sessions for theory subjects.,Academics,ECE,2nd Year,Female
Scholarship process is very slow.,Administration,EEE,4th Year,Male
Forms take too long to get approved.,Administration,ECE,2nd Year,Other
No practical sessions for theory subjects.,Academics,EEE,2nd Year,Male
The syllabus is not being covered on time.,Academics,ME,4th Year,Female
Exams are too difficult without proper guidance.,Academics,ME,3rd Year,Female
Hostel cleanliness is not up to the mark.,Hostel,ME,1st Year,Male
The library is overcrowded during exams.,Facilities,IT,3rd Year,Other
Not enough companies visit the campus.,Placement,CE,2nd Year,Other
There is no variety in the menu.,Canteen,EEE,1st Year,Male
Workshops are irrelevant to current industry trends.,Placement,CE,3rd Year,Male
Classrooms need better ventilation.,Facilities,ME,3rd Year,Male
The syllabus is not being covered on time.,Academics,ECE,3rd Year,Other
